77,35,166,208,12,115
77,35,156,375,20,115
77,35,156,30,20,115
77,35,33,7,20,115
77,35,1,78,20,115
77,35,1,21,20,115
77,35,1,7,20,115
77,35,1,5,12,115
77,9,270,5,12,115
77,9,1,78,20,115
77,9,1,21,20,115
77,9,1,7,20,115
77,9,1,5,12,115
77,35,33,7,20,115
77,9,1,21,20,115
77,35,1,21,20,115
77,9,1,5,12,115
77,35,156,30,20,115
77,35,1,5,12,115
77,35,166,208,12,115
77,35,156,375,20,115
77,35,1,7,20,115
77,9,1,7,20,115
77,35,1,78,20,115
77,9,1,78,20,115
77,9,3,25,19,20,115
77,9,1,5,19,20,115
77,35,33,7,107,12,115
77,9,32,11,139,12,115
77,9,3,0,2,12,115
77,9,270,5,19,20,115
77,228,8,83,5,12,115
77,35,1,5,19,20,115
77,9,38,430,30,20,115
77,9,32,11,5,12,115
77,35,120,10,2,12,115
77,9,3,1,21,20,115
77,9,3,0,5,12,115
77,35,166,45,470,20,115
77,9,3,1,5,12,115
77,9,3,0,7,20,115
77,35,166,45,19,20,115
77,9,3,1,7,20,115
77,35,166,45,189,12,115
77,9,3,1,78,20,115
77,35,33,60,5,12,115
77,35,1,7,107,12,115
77,35,33,140,21,20,115
77,228,8,1,21,20,115
77,35,33,473,5,12,115
77,228,8,10,2,12,115
77,228,8,1,5,12,115
77,228,8,26,21,20,115
77,228,8,10,334,12,115
77,228,8,1,7,20,115
77,9,176,33,7,20,115
77,9,1,7,107,12,115
77,228,8,1,78,20,115
77,9,282,132,30,20,115
77,35,1,0,2,12,115
77,9,32,11,19,20,115
77,9,316,0,2,12,115
77,35,237,488,30,20,115
77,35,1,15,5,12,115
77,35,1,0,5,12,115
77,9,32,11,241,12,115
77,35,1,0,7,20,115
77,9,493,48,5,12,115
77,9,1,0,2,12,115
77,9,493,48,7,20,115
77,9,1,15,5,12,115
77,9,1,0,5,12,115
77,9,1,22,7,20,115
77,9,1,0,7,20,115
77,9,1,44,204,20,115
77,35,120,10,334,12,115
77,9,1,69,19,20,115
77,9,316,0,5,12,115
77,9,1,111,90,12,115
77,9,316,0,7,20,115
77,9,1,127,5,12,115
77,35,369,256,7,20,115
77,9,1,134,73,12,115
77,35,415,70,95,20,115
77,9,1,157,310,20,115
77,35,415,70,249,20,115
77,9,1,161,5,12,115
77,9,1,157,5,12,115
77,9,1,188,5,12,115
77,9,3,11,139,12,115
77,9,1,220,425,12,115
77,35,237,335,334,12,115
77,9,3,13,5,12,115
77,9,3,11,5,12,115
77,9,1,296,95,20,115
77,9,3,14,2,12,115
77,9,3,11,19,20,115
77,9,1,469,241,12,115
77,9,3,47,154,12,115
77,9,3,11,241,12,115
77,35,1,22,7,20,115
77,35,1,44,204,20,115
77,35,1,69,19,20,115
77,35,1,111,90,12,115
77,35,1,127,5,12,115
77,35,1,134,73,12,115
77,35,1,157,310,20,115
77,35,1,161,5,12,115
77,35,1,157,5,12,115
77,35,1,188,5,12,115
77,35,1,220,425,12,115
77,35,1,296,95,20,115
77,35,1,469,241,12,115
77,9,1,0,7,107,12,115
77,9,3,1,7,107,12,115
77,35,166,45,11,139,12,115
77,35,1,0,7,107,12,115
77,9,3,1,0,2,12,115
77,35,120,10,16,30,20,115
77,35,33,7,0,2,12,115
77,9,1,69,114,7,20,115
77,9,3,1,15,5,12,115
77,9,3,1,0,5,12,115
77,35,120,10,89,21,20,115
77,35,33,7,1,21,20,115
77,35,33,7,0,5,12,115
77,9,1,69,359,139,12,115
77,9,3,1,22,7,20,115
77,9,3,1,0,7,20,115
77,35,33,7,37,497,20,115
77,35,33,7,1,5,12,115
77,9,1,69,365,310,20,115
77,9,3,1,44,204,20,115
77,35,33,7,62,2,12,115
77,35,33,7,1,78,20,115
77,9,3,1,69,19,20,115
77,35,33,7,48,5,12,115
77,9,3,0,7,107,12,115
77,9,3,1,111,90,12,115
77,35,1,7,0,2,12,115
77,35,156,30,54,19,20,115
77,9,3,1,127,5,12,115
77,35,1,7,37,497,20,115
77,35,1,7,0,5,12,115
77,35,156,30,286,5,12,115
77,9,3,1,134,73,12,115
77,9,1,69,19,5,12,115
77,9,316,0,5,19,20,115
77,9,316,0,1,21,20,115
77,35,1,7,48,5,12,115
77,9,316,0,7,107,12,115
77,9,3,1,157,310,20,115
77,9,1,69,19,284,20,115
77,9,316,0,24,73,12,115
77,9,493,48,5,19,20,115
77,9,3,0,5,19,20,115
77,9,316,0,1,5,12,115
77,35,1,7,62,2,12,115
77,9,32,382,1,7,20,115
77,9,1,127,5,19,20,115
77,9,3,1,161,5,12,115
77,9,3,1,157,5,12,115
77,35,1,15,5,19,20,115
77,35,369,256,7,107,12,115
77,9,316,0,94,74,20,115
77,9,316,0,24,19,20,115
77,35,369,256,222,95,20,115
77,35,1,0,24,19,20,115
77,9,493,48,7,107,12,115
77,9,1,21,84,73,12,115
77,9,316,0,1,7,20,115
77,35,110,248,348,139,12,115
77,9,32,145,28,39,12,115
77,9,32,382,1,5,12,115
77,9,493,48,51,269,20,115
77,35,33,60,5,19,20,115
77,35,33,439,460,241,12,115
77,9,3,1,188,5,12,115
77,35,33,473,5,19,20,115
77,35,415,70,26,21,20,115
77,35,1,0,5,19,20,115
77,9,3,25,254,58,12,115
77,9,3,0,1,21,20,115
77,9,316,0,260,492,12,115
77,9,270,5,0,2,12,115
77,9,1,161,5,19,20,115
77,9,316,0,24,58,12,115
77,9,1,5,0,2,12,115
77,9,3,1,5,19,20,115
77,9,1,157,5,19,20,115
77,35,1,0,260,315,12,115
77,9,1,188,5,19,20,115
77,35,1,0,24,58,12,115
77,9,1,0,24,19,20,115
77,9,3,13,5,19,20,115
77,228,8,10,16,30,20,115
77,9,316,0,1,78,20,115
77,35,331,244,28,39,12,115
77,35,110,46,28,39,12,115
77,35,110,248,28,90,12,115
77,9,32,247,48,5,12,115
77,9,32,145,28,90,12,115
77,9,32,382,1,21,20,115
77,9,493,48,122,21,20,115
77,9,493,48,51,5,12,115
77,228,8,83,220,425,12,115
77,35,33,46,86,5,12,115
77,9,3,1,220,425,12,115
77,9,3,11,5,19,20,115
77,228,8,83,5,19,20,115
77,35,415,70,37,497,20,115
77,228,8,26,29,2,12,115
77,228,8,1,7,107,12,115
77,9,1,15,16,30,20,115
77,228,8,1,5,19,20,115
77,35,1,5,19,284,20,115
77,9,3,14,371,5,12,115
77,9,3,0,24,73,12,115
77,9,3,0,1,5,12,115
77,9,176,180,134,73,12,115
77,9,316,0,438,21,20,115
77,9,316,0,260,315,12,115
77,9,3,11,19,5,12,115
77,9,270,5,1,21,20,115
77,9,270,5,0,7,20,115
77,9,270,5,11,139,12,115
77,9,270,5,1,7,20,115
77,9,270,5,491,310,20,115
77,9,270,5,11,19,20,115
77,9,270,5,1,78,20,115
77,9,270,5,157,310,20,115
77,9,270,5,11,241,12,115
77,9,270,5,48,7,20,115
77,9,176,33,60,5,12,115
77,9,270,5,51,269,20,115
77,9,176,33,140,21,20,115
77,9,270,5,286,30,20,115
77,9,176,33,473,5,12,115
77,9,270,5,363,74,20,115
77,9,1,3,25,19,20,115
77,9,316,0,24,245,12,115
77,9,1,8,83,5,12,115
77,9,1,3,0,2,12,115
77,9,1,487,37,497,20,115
77,9,1,8,10,334,12,115
77,9,1,3,11,5,12,115
77,9,1,3,0,5,12,115
77,9,1,35,156,375,20,115
77,9,1,487,37,7,20,115
77,9,1,8,26,21,20,115
77,9,1,8,10,2,12,115
77,9,1,3,47,154,12,115
77,9,1,3,11,19,20,115
77,9,1,3,0,7,20,115
77,9,1,475,11,19,20,115
77,9,1,35,33,7,20,115
77,9,1,35,156,30,20,115
77,9,1,3,13,5,12,115
77,9,1,3,11,139,12,115
77,9,1,57,31,72,20,115
77,9,1,475,11,5,12,115
77,9,1,35,166,208,12,115
77,9,1,3,14,2,12,115
77,9,1,3,11,241,12,115
77,9,1,164,45,470,20,115
77,9,1,57,31,74,20,115
77,9,1,475,11,139,12,115
77,9,1,226,86,5,12,115
77,9,1,164,45,19,20,115
77,9,1,475,11,241,12,115
77,9,1,227,161,5,12,115
77,9,1,164,45,189,12,115
77,9,1,100,260,315,12,115
77,9,176,33,7,107,12,115
77,9,1,236,60,5,12,115
77,9,1,100,124,30,20,115
77,9,1,100,260,492,12,115
77,9,3,4,0,2,12,115
77,9,1,5,11,139,12,115
77,9,3,6,37,497,20,115
77,9,3,4,0,5,12,115
77,9,1,5,491,310,20,115
77,9,1,5,11,19,20,115
77,9,3,8,83,5,12,115
77,9,3,6,0,2,12,115
77,9,3,6,37,7,20,115
77,9,3,4,0,7,20,115
77,9,1,5,363,74,20,115
77,9,1,5,11,241,12,115
77,9,3,59,28,39,12,115
77,9,3,8,1,21,20,115
77,9,3,6,18,5,12,115
77,9,3,6,0,5,12,115
77,9,1,5,157,310,20,115
77,9,3,290,60,5,12,115
77,9,3,59,28,90,12,115
77,9,3,8,10,2,12,115
77,9,3,8,1,5,12,115
77,9,3,6,173,202,20,115
77,9,3,6,0,7,20,115
77,9,1,5,48,7,20,115
77,9,3,75,31,72,20,115
77,9,3,8,26,21,20,115
77,9,3,8,10,334,12,115
77,9,3,8,1,7,20,115
77,9,3,6,222,95,20,115
77,9,3,6,173,458,12,115
77,9,1,5,51,269,20,115
77,9,3,392,1,5,12,115
77,9,3,75,31,74,20,115
77,9,3,8,1,78,20,115
77,9,3,6,229,30,20,115
77,9,1,5,286,30,20,115
77,9,3,327,22,7,20,115
77,9,3,392,1,7,20,115
77,9,3,98,28,39,12,115
77,9,3,392,1,21,20,115
77,9,3,416,157,5,12,115
77,9,3,98,28,90,12,115
77,9,3,392,1,78,20,115
77,9,3,250,347,7,20,115
77,9,3,416,157,310,20,115
77,9,3,287,1,7,20,115
77,9,3,47,16,30,20,115
77,9,3,498,28,39,12,115
77,9,3,287,1,5,12,115
77,9,3,47,312,78,20,115
77,9,3,498,28,90,12,115
77,9,1,5,0,7,20,115
77,9,1,220,83,5,12,115
77,9,3,287,1,21,20,115
77,9,3,47,410,30,20,115
77,35,156,374,209,95,20,115
77,9,3,11,28,90,12,115
77,9,3,287,1,78,20,115
77,9,1,7,0,2,12,115
77,228,8,1,0,2,12,115
77,9,3,11,45,470,20,115
77,9,3,11,28,39,12,115
77,9,1,7,37,497,20,115
77,9,1,7,0,5,12,115
77,228,8,1,15,5,12,115
77,228,8,1,0,5,12,115
77,9,3,11,118,21,20,115
77,9,3,11,45,19,20,115
77,9,1,7,48,5,12,115
77,228,8,1,22,7,20,115
77,228,8,1,0,7,20,115
77,9,3,11,45,189,12,115
77,9,1,7,62,2,12,115
77,228,8,1,44,204,20,115
77,35,1,0,94,74,20,115
77,35,1,0,260,492,12,115
77,9,3,13,31,72,20,115
77,228,8,1,69,19,20,115
77,35,1,0,438,21,20,115
77,35,1,5,0,2,12,115
77,9,3,13,31,74,20,115
77,35,1,0,24,73,12,115
77,228,8,1,111,90,12,115
77,35,1,22,7,107,12,115
77,35,1,5,11,139,12,115
77,35,1,5,0,7,20,115
77,35,1,0,24,245,12,115
77,228,8,1,127,5,12,115
77,9,1,0,260,315,12,115
77,35,1,5,491,310,20,115
77,35,1,5,11,19,20,115
77,9,1,0,24,58,12,115
77,228,8,1,134,73,12,115
77,9,1,0,94,74,20,115
77,9,1,0,260,492,12,115
77,35,1,5,363,74,20,115
77,35,1,5,11,241,12,115
77,9,1,0,24,73,12,115
77,228,8,3,25,19,20,115
77,228,8,1,157,310,20,115
77,9,1,0,438,21,20,115
77,35,1,5,157,310,20,115
77,9,38,210,66,5,12,115
77,9,1,0,24,245,12,115
77,228,8,93,1,21,20,115
77,228,8,3,0,2,12,115
77,228,8,10,89,21,20,115
77,228,8,1,161,5,12,115
77,228,8,1,157,5,12,115
77,35,1,5,48,7,20,115
77,9,38,297,173,202,20,115
77,228,8,100,260,492,12,115
77,228,8,93,1,5,12,115
77,9,1,5,19,284,20,115
77,9,1,22,7,107,12,115
77,9,32,11,5,19,20,115
77,35,1,69,114,7,20,115
77,228,8,3,1,21,20,115
77,228,8,3,0,5,12,115
77,228,8,1,188,5,12,115
77,35,1,69,19,5,12,115
77,35,288,96,48,5,12,115
77,35,1,5,51,269,20,115
77,35,331,244,28,90,12,115
77,9,38,34,0,5,12,115
77,9,38,297,173,458,12,115
77,9,282,132,45,470,20,115
77,35,110,46,33,7,20,115
77,35,110,46,28,90,12,115
77,228,8,148,0,2,12,115
77,228,8,100,1,21,20,115
77,228,8,100,260,315,12,115
77,35,110,248,28,39,12,115
77,228,8,93,1,7,20,115
77,35,1,127,5,19,20,115
77,9,32,285,24,58,12,115
77,35,1,69,359,139,12,115
77,9,32,247,48,7,20,115
77,228,8,3,11,139,12,115
77,228,8,3,1,5,12,115
77,9,1,0,5,19,20,115
77,9,1,15,5,19,20,115
77,9,32,382,1,78,20,115
77,228,8,3,0,7,20,115
77,228,8,1,220,425,12,115
77,35,1,69,19,284,20,115
77,35,340,103,62,7,20,115
77,35,1,21,84,73,12,115
77,35,288,96,14,2,12,115
77,35,288,96,48,7,20,115
77,35,1,5,286,30,20,115
77,9,38,43,37,497,20,115
77,35,166,45,19,5,12,115
77,9,32,11,19,5,12,115
77,9,38,34,0,2,12,115
77,35,33,23,265,7,20,115
77,9,282,132,45,19,20,115
77,35,33,46,28,90,12,115
77,35,110,46,52,21,20,115
77,35,33,46,28,39,12,115
77,35,110,46,86,5,12,115
77,9,32,11,28,90,12,115
77,35,110,46,433,5,12,115
77,9,32,11,45,470,20,115
77,9,32,11,28,39,12,115
77,9,32,11,118,21,20,115
77,9,32,11,45,19,20,115
77,228,8,191,1,21,20,115
77,9,32,11,45,189,12,115
77,228,8,243,408,21,20,115
77,228,8,191,1,5,12,115
77,228,8,267,140,21,20,115
77,228,8,243,128,30,20,115
77,228,8,191,1,7,20,115
77,228,8,317,1,21,20,115
77,228,8,191,1,78,20,115
77,228,8,484,200,7,20,115
77,228,8,317,1,5,12,115
77,9,3,1,296,95,20,115
77,228,8,317,1,7,20,115
77,9,3,1,469,241,12,115
77,228,8,317,1,78,20,115
77,228,8,148,0,5,12,115
77,228,8,100,124,30,20,115
77,228,8,148,0,7,20,115
77,9,88,450,161,5,12,115
77,9,3,25,19,5,12,115
77,9,292,345,37,7,20,115
77,9,88,38,430,30,20,115
77,9,3,25,19,284,20,115
77,9,292,46,28,39,12,115
77,9,292,345,37,497,20,115
77,9,292,46,33,7,20,115
77,9,292,46,28,90,12,115
77,9,292,46,52,21,20,115
77,35,1,161,5,19,20,115
77,9,292,46,86,5,12,115
77,228,8,100,1,5,12,115
77,9,292,46,433,5,12,115
77,228,8,100,1,7,20,115
77,228,8,93,1,78,20,115
77,228,8,100,1,78,20,115
77,35,1,157,5,19,20,115
77,35,415,70,37,7,20,115
77,9,32,285,24,19,20,115
77,228,8,26,70,95,20,115
77,9,32,285,24,73,12,115
77,228,8,26,70,249,20,115
77,9,32,285,24,245,12,115
77,35,1,69,365,310,20,115
77,35,120,149,62,2,12,115
77,9,1,15,28,39,12,115
77,35,120,338,25,19,20,115
77,35,120,149,62,7,20,115
77,9,1,15,390,19,20,115
77,9,1,15,28,90,12,115
77,228,8,3,13,5,12,115
77,228,8,3,11,5,12,115
77,228,8,3,14,2,12,115
77,228,8,3,11,19,20,115
77,228,8,3,47,154,12,115
77,228,8,3,11,241,12,115
77,228,8,3,1,7,20,115
77,35,1,188,5,19,20,115
77,228,8,3,1,78,20,115
77,35,1,220,83,5,12,115
77,228,8,1,296,95,20,115
77,9,270,5,19,284,20,115
77,228,8,1,469,241,12,115
77,35,1,15,16,30,20,115
77,9,3,0,94,74,20,115
77,35,1,15,28,39,12,115
77,9,3,0,260,492,12,115
77,35,1,15,390,19,20,115
77,35,1,15,28,90,12,115
77,9,3,0,438,21,20,115
77,9,3,0,260,315,12,115
77,35,342,171,70,95,20,115
77,35,340,103,62,2,12,115
77,35,342,171,70,249,20,115
77,35,1,3,25,19,20,115
77,9,3,0,24,19,20,115
77,35,1,8,83,5,12,115
77,35,1,3,0,2,12,115
77,9,3,0,24,58,12,115
77,35,1,9,270,5,12,115
77,35,1,8,10,334,12,115
77,35,1,3,11,5,12,115
77,35,1,3,0,5,12,115
77,9,3,0,24,245,12,115
77,35,1,487,37,497,20,115
77,35,1,8,26,21,20,115
77,35,1,8,10,2,12,115
77,35,1,3,13,5,12,115
77,35,1,3,11,19,20,115
77,35,1,3,0,7,20,115
77,35,1,475,11,19,20,115
77,35,1,487,37,7,20,115
77,35,1,3,14,2,12,115
77,35,1,3,11,139,12,115
77,35,1,57,31,72,20,115
77,35,1,475,11,5,12,115
77,35,1,3,47,154,12,115
77,35,1,3,11,241,12,115
77,35,1,164,45,470,20,115
77,35,1,57,31,74,20,115
77,35,1,475,11,139,12,115
77,35,1,226,86,5,12,115
77,35,1,164,45,19,20,115
77,35,1,475,11,241,12,115
77,35,1,227,161,5,12,115
77,35,1,164,45,189,12,115
77,35,1,100,260,315,12,115
77,9,3,0,1,7,20,115
77,35,1,236,60,5,12,115
77,35,1,100,124,30,20,115
77,35,1,100,260,492,12,115
77,9,3,0,1,78,20,115
77,35,166,45,92,78,20,115
77,9,38,53,45,189,12,115
77,35,166,45,132,30,20,115
77,9,38,68,37,497,20,115
77,9,38,53,45,19,20,115
77,35,166,45,146,30,20,115
77,9,38,121,33,7,20,115
77,9,38,68,37,7,20,115
77,9,38,53,45,470,20,115
77,35,166,45,192,72,20,115
77,9,38,135,122,21,20,115
77,35,166,45,379,2,12,115
77,9,38,43,37,7,20,115
77,35,166,45,19,284,20,115
77,9,32,11,19,284,20,115
77,35,166,45,11,5,12,115
77,9,38,34,0,7,20,115
77,35,166,45,11,19,20,115
77,35,33,385,111,90,12,115
77,35,166,45,11,241,12,115
77,35,33,307,157,5,12,115
77,35,33,23,0,2,12,115
77,35,33,307,157,310,20,115
77,35,33,23,13,5,12,115
77,35,33,23,0,5,12,115
77,35,33,23,36,30,20,115
77,35,33,23,0,7,20,115
77,35,33,23,44,204,20,115
77,9,3,11,19,284,20,115
77,35,33,23,206,202,20,115
77,9,282,132,45,189,12,115
77,35,33,46,52,21,20,115
77,35,33,46,433,5,12,115
77,35,1,161,5,0,2,12,115
77,9,1,8,83,5,19,20,115
77,9,292,46,86,5,19,20,115
77,228,8,100,1,5,19,20,115
77,9,292,46,49,11,139,12,115
77,35,110,46,86,5,19,20,115
