78,1,93
78,1,8,93
78,20,21,1,93
78,1,3,8,93
78,20,7,1,93
78,1,191,8,93
78,1,317,8,93
78,1,100,8,93
78,20,21,26,8,93
78,1,3,133,8,93
78,20,7,1,8,93
78,1,21,26,8,93
78,92,167,293,1,93
78,20,21,1,8,93
78,92,45,164,1,93
78,20,19,69,1,93
78,1,0,3,8,93
78,20,204,44,1,93
78,20,19,5,1,93
78,1,287,3,8,93
78,20,7,0,1,93
78,1,0,148,8,93
78,20,95,296,1,93
78,312,47,3,1,93
78,20,310,157,1,93
78,312,47,3,8,93
78,1,392,3,8,93
78,20,7,22,1,93
78,1,9,3,8,93
78,1,5,83,8,93
78,1,220,83,8,93
78,20,7,0,1,8,93
78,1,392,3,133,8,93
78,20,7,0,3,1,93
78,20,95,70,26,8,93
78,1,9,3,133,8,93
78,92,167,17,0,1,93
78,92,167,293,1,8,93
78,312,47,16,15,1,93
78,20,95,296,1,8,93
78,92,45,11,3,1,93
78,20,497,37,487,1,93
78,20,310,365,69,1,93
78,92,45,11,5,1,93
78,92,45,11,3,8,93
78,20,249,70,26,8,93
78,20,497,37,7,1,93
78,20,310,491,5,1,93
78,92,45,11,475,1,93
78,20,470,45,164,1,93
78,312,47,3,1,8,93
78,92,45,164,1,8,93
78,20,310,157,5,1,93
78,312,47,3,0,1,93
78,20,30,286,5,1,93
78,20,21,140,267,8,93
78,1,0,3,133,8,93
78,20,7,200,484,8,93
78,312,47,3,9,1,93
78,20,74,363,5,1,93
78,1,0,5,83,8,93
78,20,21,26,8,1,93
78,20,30,16,15,1,93
78,20,7,22,1,8,93
78,20,21,408,243,8,93
78,20,7,1,3,8,93
78,1,9,77,228,8,93
78,20,19,69,1,8,93
78,20,7,37,487,1,93
78,20,21,1,3,8,93
78,20,19,5,1,8,93
78,1,3,0,148,8,93
78,1,5,0,3,8,93
78,312,47,3,133,8,93
78,1,35,340,391,8,93
78,20,72,31,57,1,93
78,20,74,31,57,1,93
78,312,47,3,8,1,93
78,1,0,4,3,8,93
78,20,30,124,100,1,93
78,1,0,6,3,8,93
78,20,30,128,243,8,93
78,20,30,124,100,8,93
78,1,0,2,10,8,93
78,20,30,156,35,1,93
