79,37,487,1,161
79,37,7,1,161
79,37,7,1,161
79,55,47,3,1,161
79,37,487,1,5,161
79,37,7,0,1,161
79,37,7,1,5,161
79,37,487,1,227,161
79,205,6,0,1,161
79,37,7,22,1,161
79,37,7,0,5,161
79,205,6,0,5,161
79,37,7,48,5,161
79,37,6,0,1,161
79,55,26,8,1,161
79,37,102,48,5,161
79,37,7,1,227,161
79,464,20,7,1,161
79,37,6,3,1,161
79,464,20,19,5,161
79,37,6,18,5,161
79,464,20,21,1,161
79,37,6,0,5,161
79,464,20,78,1,161
79,55,26,21,1,161
79,205,380,0,1,161
79,37,112,22,1,161
79,205,6,3,1,161
79,205,380,0,5,161
79,37,200,7,1,161
79,205,6,18,5,161
79,37,259,11,5,161
79,37,299,362,5,161
79,37,360,45,355,161
79,464,20,7,1,5,161
79,464,20,7,0,1,161
79,464,20,19,5,1,161
79,464,20,21,1,5,161
79,37,259,11,5,1,161
79,37,299,368,188,5,161
79,37,360,45,11,5,161
79,37,299,362,5,1,161
79,37,43,214,126,5,161
79,37,7,0,5,1,161
79,37,6,0,1,5,161
79,464,20,7,1,227,161
79,37,6,3,0,1,161
79,464,20,7,22,1,161
79,464,20,7,0,5,161
79,37,7,22,1,5,161
79,55,47,3,0,1,161
79,37,6,3,1,5,161
79,464,20,21,1,227,161
79,464,20,19,11,5,161
79,37,299,476,157,1,161
79,37,7,0,3,1,161
79,37,6,17,0,1,161
79,37,299,368,188,1,161
79,37,360,45,19,5,161
79,205,6,0,1,5,161
79,55,47,3,1,5,161
79,37,487,1,0,5,161
79,205,6,0,3,1,161
79,37,68,38,88,450,161
79,37,43,38,9,1,161
79,37,7,33,473,5,161
79,37,6,0,3,1,161
79,37,6,0,1,227,161
79,37,6,3,8,1,161
79,464,20,30,286,5,161
79,37,6,3,0,5,161
79,464,20,7,48,5,161
79,37,7,0,1,5,161
79,464,20,78,1,5,161
79,55,26,320,13,5,161
79,37,7,0,1,227,161
79,464,20,78,1,227,161
79,55,26,344,157,1,161
79,37,7,22,1,227,161
79,55,47,3,8,1,161
79,55,26,344,157,5,161
79,37,7,48,51,5,161
79,55,47,3,9,1,161
79,55,47,3,0,5,161
79,37,6,3,1,227,161
79,55,47,3,11,5,161
79,205,411,132,45,355,161
79,464,20,19,45,355,161
79,55,47,3,13,5,161
79,464,20,19,69,1,161
79,55,47,3,287,1,161
79,37,102,48,5,1,161
79,55,47,3,392,1,161
79,37,112,22,1,5,161
79,205,6,3,1,5,161
79,37,112,22,1,227,161
79,205,6,3,1,227,161
79,205,380,0,5,1,161
79,37,299,476,157,5,161
79,37,200,7,1,5,161
79,55,26,8,1,5,161
79,37,200,7,1,227,161
79,55,26,8,1,227,161
79,37,6,18,5,1,161
79,37,6,42,81,5,161
79,37,112,119,13,5,161
79,37,6,199,108,1,161
79,37,6,17,0,5,161
79,37,360,45,164,1,161
79,205,6,0,5,1,161
79,37,7,48,5,1,161
79,205,6,0,1,227,161
79,37,112,22,7,1,161
79,55,47,3,1,227,161
79,37,487,1,157,5,161
79,37,7,1,0,5,161
79,37,487,1,188,5,161
79,37,7,1,188,5,161
79,37,487,1,15,5,161
79,37,7,1,15,5,161
79,37,487,1,127,5,161
79,37,7,1,127,5,161
79,205,6,3,0,1,161
79,37,7,1,157,5,161
79,205,6,3,8,1,161
79,205,6,3,0,5,161
79,205,6,0,7,1,161
79,205,380,0,3,1,161
79,205,6,3,9,1,161
79,37,70,415,35,1,161
79,205,380,0,7,1,161
79,205,6,3,11,5,161
79,37,497,20,7,1,161
79,37,70,26,8,1,161
79,205,6,3,13,5,161
79,37,345,292,9,1,161
79,37,497,20,19,5,161
79,37,70,95,296,1,161
79,37,70,26,21,1,161
79,205,6,3,287,1,161
79,37,328,235,7,1,161
79,37,497,20,21,1,161
79,37,70,138,22,1,161
79,205,380,0,1,5,161
79,55,26,8,3,1,161
79,37,6,0,5,1,161
79,55,26,21,1,5,161
79,37,68,252,326,1,161
79,37,68,38,9,1,161
79,205,6,3,392,1,161
