7,22,137
7,1,22,137
7,48,333,137
7,1,116,71,137
7,37,112,22,137
7,48,302,71,137
7,37,360,467,137
7,0,50,71,137
7,235,50,71,137
7,0,1,22,137
7,1,5,48,333,137
7,200,37,112,22,137
7,0,2,233,71,137
7,48,51,428,22,137
7,0,1,116,71,137
7,1,0,50,71,137
7,20,234,233,71,137
7,1,44,50,71,137
7,62,2,233,71,137
7,20,21,1,22,137
7,1,3,47,71,137
7,114,69,1,22,137
7,20,78,1,22,137
7,37,102,48,333,137
7,200,37,360,467,137
7,1,15,28,181,137
7,1,3,327,22,137
7,0,3,47,71,137
7,33,35,1,22,137
7,0,5,1,22,137
7,0,3,1,22,137
7,33,46,28,181,137
7,0,5,48,333,137
7,0,3,327,22,137
7,22,1,116,71,137
7,48,5,1,22,137
7,37,70,138,22,137
7,37,487,1,22,137
7,1,15,5,48,333,137
7,107,12,154,47,71,137
7,1,3,0,50,71,137
7,235,50,0,1,22,137
7,33,35,1,116,71,137
7,0,6,37,360,467,137
7,1,0,2,233,71,137
7,0,1,44,50,71,137
7,0,5,1,116,71,137
7,0,3,1,116,71,137
7,33,473,5,1,22,137
7,235,328,37,112,22,137
7,33,46,381,48,333,137
7,0,5,51,48,333,137
7,0,5,48,302,71,137
7,0,3,8,1,22,137
7,0,5,51,428,22,137
7,22,112,37,360,467,137
7,0,3,498,28,181,137
7,22,1,15,28,181,137
7,22,327,3,47,71,137
7,0,3,59,28,181,137
7,22,1,5,48,333,137
7,22,428,51,48,333,137
7,0,3,98,28,181,137
7,22,1,0,50,71,137
7,48,61,15,1,22,137
7,0,3,133,217,22,137
7,22,1,3,47,71,137
7,48,102,37,360,467,137
7,48,61,15,28,181,137
7,0,3,11,28,181,137
7,1,5,48,302,71,137
7,22,1,44,50,71,137
7,48,381,46,28,181,137
7,48,102,37,112,22,137
7,0,3,9,1,22,137
7,62,2,0,1,22,137
7,48,493,9,1,22,137
7,48,5,1,116,71,137
7,48,5,0,50,71,137
7,0,3,287,1,22,137
7,62,2,10,91,22,137
7,62,2,0,50,71,137
7,1,5,0,50,71,137
7,37,259,11,28,181,137
7,48,122,135,485,71,137
7,37,487,1,116,71,137
7,1,15,16,47,71,137
7,48,5,11,28,181,137
7,20,21,122,48,333,137
7,20,21,1,116,71,137
7,200,484,8,1,22,137
7,427,126,101,28,181,137
7,48,5,0,1,22,137
7,0,3,392,1,22,137
7,107,12,2,233,71,137
7,1,3,59,28,181,137
7,1,5,51,48,333,137
7,235,50,44,1,22,137
7,37,328,235,50,71,137
7,37,102,48,302,71,137
7,48,174,157,1,22,137
7,48,122,21,1,22,137
7,1,15,61,48,333,137
7,0,4,147,47,71,137
7,0,6,3,1,22,137
7,48,5,15,28,181,137
7,0,6,3,47,71,137
7,48,5,51,428,22,137
7,48,5,15,1,22,137
7,0,6,3,327,22,137
7,48,5,127,1,22,137
7,0,6,37,112,22,137
7,48,5,157,1,22,137
7,1,0,3,47,71,137
7,48,5,161,1,22,137
7,1,0,5,48,333,137
7,1,0,3,327,22,137
7,48,5,188,1,22,137
7,200,207,41,28,181,137
7,0,2,10,91,22,137
7,200,252,326,1,22,137
7,114,69,1,116,71,137
7,20,72,404,28,181,137
7,478,130,51,48,333,137
7,20,269,51,428,22,137
7,272,341,41,28,181,137
7,478,130,46,28,181,137
