7,20
7,1,21,20
7,37,497,20
7,1,78,20
7,37,70,95,20
7,1,296,95,20
7,37,79,464,20
7,0,94,74,20
7,37,70,249,20
7,114,173,202,20
7,0,1,21,20
7,1,44,204,20
7,0,1,78,20
7,1,5,19,20
7,200,37,497,20
7,1,69,19,20
7,48,51,269,20
7,1,157,310,20
7,114,69,19,20
7,33,140,21,20
7,48,5,19,20
7,0,5,19,20
7,48,122,21,20
7,0,24,19,20
7,256,222,95,20
7,0,438,21,20
7,107,12,115,20
7,22,1,21,20
7,272,24,19,20
7,22,1,78,20
7,33,35,156,30,20
7,0,24,19,284,20
7,0,5,19,284,20
7,48,429,286,30,20
7,107,12,5,19,20
7,0,5,286,30,20
7,0,1,5,19,20
7,1,5,19,284,20
7,1,5,286,30,20
7,0,1,44,204,20
7,1,69,19,284,20
7,1,5,51,269,20
7,0,1,69,19,20
7,48,5,19,284,20
7,1,5,491,310,20
7,0,1,296,95,20
7,0,3,11,19,20
7,1,5,11,19,20
7,0,1,157,310,20
7,0,2,233,234,20
7,0,3,1,21,20
7,1,5,12,115,20
7,48,5,286,30,20
7,0,6,37,497,20
7,0,2,12,115,20
7,0,3,25,19,20
7,0,3,1,78,20
7,1,5,157,310,20
7,48,5,363,74,20
7,0,17,76,19,20
7,200,37,70,95,20
7,0,6,173,202,20
7,37,487,1,21,20
7,1,5,363,74,20
7,48,5,491,310,20
7,37,70,26,21,20
7,1,69,365,310,20
7,22,112,37,497,20
7,0,23,36,30,20
7,0,17,313,19,20
7,200,37,79,464,20
7,235,328,37,497,20
7,200,37,70,249,20
7,0,6,222,95,20
7,272,309,5,19,20
7,37,6,229,30,20
7,48,51,5,19,20
7,272,24,19,284,20
7,37,487,1,78,20
7,22,1,44,204,20
7,48,5,51,269,20
7,22,1,69,19,20
7,48,5,1,21,20
7,22,1,296,95,20
7,48,5,11,19,20
7,48,5,1,78,20
7,22,1,5,19,20
7,48,5,12,115,20
7,22,1,157,310,20
7,48,5,157,310,20
7,1,487,37,497,20
7,33,473,5,19,20
7,1,35,156,375,20
7,33,23,206,202,20
7,1,57,31,72,20
7,1,35,156,30,20
7,33,60,5,19,20
7,33,23,44,204,20
7,1,100,124,30,20
7,1,57,31,74,20
7,33,307,157,310,20
7,33,23,36,30,20
7,1,8,26,21,20
7,33,46,52,21,20
7,1,0,5,19,20
7,33,35,1,78,20
7,1,475,11,19,20
7,1,0,24,19,20
7,33,35,1,21,20
7,1,164,45,470,20
7,1,0,94,74,20
7,1,15,16,30,20
7,1,164,45,19,20
7,1,0,438,21,20
7,1,127,5,19,20
7,1,15,5,19,20
7,22,138,70,95,20
7,1,3,11,19,20
7,1,15,390,19,20
7,22,428,51,269,20
7,22,138,194,30,20
7,22,138,70,249,20
7,1,161,5,19,20
7,1,3,25,19,20
7,114,69,19,284,20
7,1,188,5,19,20
7,33,35,156,375,20
7,0,143,124,30,20
7,0,23,44,204,20
7,48,102,37,497,20
7,0,160,51,269,20
7,0,23,206,202,20
7,48,174,157,310,20
7,0,50,44,204,20
7,478,130,51,269,20
7,235,50,44,204,20
7,0,6,229,30,20
7,0,56,44,204,20
7,427,126,5,19,20
7,1,157,5,19,20
7,107,12,185,72,20
7,37,360,45,19,20
7,265,23,206,202,20
7,114,69,365,310,20
7,0,5,363,74,20
7,37,259,11,19,20
7,37,6,173,202,20
7,37,360,45,470,20
7,238,109,45,470,20
7,265,23,44,204,20
7,114,69,1,21,20
7,0,5,1,21,20
7,114,69,1,78,20
7,0,5,11,19,20
7,0,5,1,78,20
7,0,5,12,115,20
7,48,51,294,19,20
7,0,5,491,310,20
7,37,6,222,95,20
7,0,5,157,310,20
7,459,424,390,19,20
7,0,5,51,269,20
7,62,2,12,115,20
7,238,109,219,21,20
7,62,2,233,234,20
7,238,109,45,19,20
7,265,23,36,30,20
7,1,44,366,51,269,20
