7,200,207
7,37,200,207
7,0,23,41,207
7,265,23,41,207
7,272,341,41,207
7,33,23,41,207
7,0,6,37,200,207
7,1,44,23,41,207
7,37,68,252,200,207
7,22,91,155,41,207
7,1,8,484,200,207
7,33,46,28,41,207
7,48,337,23,41,207
7,22,112,37,200,207
7,20,497,37,200,207
7,48,102,37,200,207
7,347,350,252,200,207
7,0,457,252,200,207
7,459,424,23,41,207
7,1,487,37,200,207
7,0,175,23,41,207
7,235,328,37,200,207
7,1,326,252,200,207
7,1,0,23,41,207
7,1,15,28,41,207
7,272,24,0,23,41,207
7,37,259,11,28,41,207
7,1,0,6,37,200,207
7,1,191,8,484,200,207
7,272,443,259,37,200,207
7,37,299,144,23,41,207
7,1,0,175,23,41,207
7,20,95,70,37,200,207
7,48,381,46,28,41,207
7,1,35,33,23,41,207
7,265,23,144,28,41,207
7,37,6,0,23,41,207
7,37,299,144,28,41,207
7,1,0,457,252,200,207
7,20,204,44,23,41,207
7,22,1,326,252,200,207
7,48,5,0,23,41,207
7,1,69,232,23,41,207
7,33,23,144,28,41,207
7,0,1,15,28,41,207
7,20,249,70,37,200,207
7,0,3,8,484,200,207
7,0,1,326,252,200,207
7,20,72,404,28,41,207
7,0,50,44,23,41,207
7,0,3,13,23,41,207
7,0,1,8,484,200,207
7,20,19,11,28,41,207
7,0,4,159,37,200,207
7,0,3,6,37,200,207
7,0,1,44,23,41,207
7,20,30,36,23,41,207
7,0,5,11,28,41,207
7,0,3,59,28,41,207
7,0,1,487,37,200,207
7,20,202,206,23,41,207
7,0,17,27,23,41,207
7,0,5,13,23,41,207
7,0,3,98,28,41,207
7,20,464,79,37,200,207
7,0,24,272,341,41,207
7,0,17,101,28,41,207
7,0,23,144,28,41,207
7,0,5,15,28,41,207
7,0,3,11,28,41,207
7,0,148,8,484,200,207
7,0,17,63,106,41,207
7,0,3,498,28,41,207
7,0,56,44,23,41,207
7,0,17,6,37,200,207
7,114,173,6,37,200,207
7,0,380,383,23,41,207
7,22,138,70,37,200,207
7,0,17,64,23,41,207
7,256,222,6,37,200,207
7,114,69,232,23,41,207
7,22,137,181,28,41,207
7,22,1,0,23,41,207
7,235,50,0,23,41,207
7,48,61,15,28,41,207
7,235,50,44,23,41,207
7,48,51,136,28,41,207
7,427,126,101,28,41,207
7,33,153,40,23,41,207
7,107,12,39,28,41,207
7,33,170,46,28,41,207
7,62,353,240,37,200,207
7,107,12,90,28,41,207
7,33,131,104,23,41,207
7,478,130,46,28,41,207
7,62,2,0,23,41,207
7,48,5,13,23,41,207
7,114,224,13,23,41,207
7,48,5,11,28,41,207
7,33,46,63,106,41,207
7,48,5,15,28,41,207
7,1,236,357,23,41,207
7,22,1,8,484,200,207
7,1,317,8,484,200,207
7,22,1,15,28,41,207
7,1,93,8,484,200,207
7,22,1,44,23,41,207
7,1,22,91,155,41,207
7,22,1,487,37,200,207
