7,20,30,430
7,0,34,38,430
7,1,9,38,430
7,33,121,38,430
7,37,43,38,430
7,37,68,38,430
7,33,23,401,38,430
7,1,9,88,38,430
7,33,46,141,38,430
7,33,23,36,30,430
7,33,35,156,30,430
7,33,46,165,38,430
7,0,1,9,38,430
7,48,493,9,38,430
7,33,176,9,38,430
7,48,5,286,30,430
7,20,19,54,30,430
7,48,122,135,38,430
7,20,375,156,30,430
7,48,429,286,30,430
7,1,0,34,38,430
7,0,3,281,38,430
7,37,6,229,30,430
7,1,3,281,38,430
7,0,5,286,30,430
7,0,3,9,38,430
7,37,497,20,30,430
7,265,23,36,30,430
7,1,5,286,30,430
7,22,138,194,30,430
7,265,23,401,38,430
7,1,15,16,30,430
7,114,173,297,38,430
7,22,1,9,38,430
7,1,21,20,30,430
7,200,252,68,38,430
7,1,35,156,30,430
7,200,37,43,38,430
7,1,78,20,30,430
7,200,37,68,38,430
7,1,3,9,38,430
7,1,100,124,30,430
7,0,6,229,30,430
7,1,152,34,38,430
7,0,17,34,38,430
7,0,23,36,30,430
7,0,412,197,38,430
7,0,23,401,38,430
7,0,143,124,30,430
7,0,316,9,38,430
7,265,23,0,34,38,430
7,33,60,5,286,30,430
7,20,19,5,286,30,430
7,114,173,6,229,30,430
7,33,473,5,286,30,430
7,20,19,45,53,38,430
7,114,173,202,20,30,430
7,33,131,104,16,30,430
7,20,19,45,132,30,430
7,22,91,10,16,30,430
7,33,140,21,20,30,430
7,20,19,45,146,30,430
7,22,112,37,43,38,430
7,33,170,46,141,38,430
7,22,1,0,34,38,430
7,22,1,9,88,38,430
7,1,9,3,281,38,430
7,22,327,3,9,38,430
7,22,112,37,68,38,430
7,33,170,46,165,38,430
7,22,1,3,281,38,430
7,33,23,0,34,38,430
7,1,21,122,135,38,430
7,48,122,21,20,30,430
7,1,9,32,197,38,430
7,347,350,252,68,38,430
7,48,5,0,34,38,430
7,1,5,0,34,38,430
7,22,327,3,281,38,430
7,20,72,31,16,30,430
7,22,1,5,286,30,430
7,22,1,3,9,38,430
7,33,23,104,16,30,430
7,33,176,9,88,38,430
7,1,35,77,9,38,430
7,48,247,32,9,38,430
7,114,69,1,9,38,430
7,200,37,6,229,30,430
7,1,9,282,132,30,430
7,427,126,214,43,38,430
7,347,250,3,9,38,430
7,48,5,1,9,38,430
7,1,5,15,16,30,430
7,20,21,122,135,38,430
7,1,100,426,132,30,430
7,33,46,218,88,38,430
7,20,72,31,128,30,430
7,22,1,15,16,30,430
7,1,3,0,34,38,430
7,22,1,21,20,30,430
7,1,3,6,229,30,430
7,22,1,35,156,30,430
7,1,3,47,16,30,430
7,22,1,78,20,30,430
7,1,3,47,410,30,430
7,22,1,100,124,30,430
7,0,6,3,281,38,430
7,22,1,152,34,38,430
