vertex1,vertex2,edge_weight
4116,4124,2.6449114664612825
4116,4103,2.893450405561627
4116,4131,2.6364465492843143
4116,4104,2.9012523681983056
4124,4131,0.07208424009533666
4124,3870,60.69381500991023
4103,4104,0.0672969242963671
4103,3359,214.0572227292403
6137,6123,8.659743931563934
6137,6140,1.2727815327109453
6137,6115,10.956641895467758
6137,6247,43.4295449902162
5495,5444,24.596014234827027
5495,5400,30.14305840418062
5495,5540,23.23137176783843
5444,5390,28.845494380652564
5444,5510,23.038566641695834
5444,5360,30.24318595192136
5390,5510,38.25236301574734
5390,5360,42.535152976855414
5390,5358,14.255717258569815
7323,7340,9.118600425309783
7323,7278,24.3012273038165
7323,7445,43.30397175610926
7340,7445,43.11328760281562
7340,7336,4.733334785620179
7278,7259,8.864010066793433
7278,7493,100.43390053014437
23428,23446,12.584992405513129
23428,23387,37.76658711466126
23428,23520,64.02154057412169
23446,23566,67.98771740078014
23446,23398,35.320106727227824
23221,23232,9.965279997049064
23221,23136,65.53849347336532
23221,23269,37.43910662061699
23232,23147,64.431262972866
23232,23286,39.1163552609087
612,615,11.152912545698483
612,607,17.087100329684088
612,640,89.10796781371293
615,641,54.488892097639734
615,611,18.02340224150599
6970,6989,14.493444185075482
6970,7206,100.43340808089654
6970,6912,34.50126815861978
6989,6991,7.27292185506982
6989,6994,7.071209485605834
5974,5959,4.58333329473377
5974,6150,71.21199482680646
5974,5717,100.02341219939298
5959,5944,5.597212267388023
5959,6157,73.47260411150192
5959,5725,97.16848785906265
6181,6164,8.226435003401438
6181,6244,16.79255518169162
6181,6211,16.882201424430384
5874,6147,90.19807964748513
5874,5853,6.399547715182308
5874,5898,12.675058508375916
5556,5367,67.46079232503408
5556,5491,55.72447968292874
5556,5610,14.082445826170183
4826,4834,3.4413780547946216
4826,4772,23.033819413634088
4826,4824,4.588885012151936
4834,4780,22.930001771880363
4834,4859,10.718909072351114
4834,4871,9.989923156403147
19630,19912,123.13428429769263
19630,18950,261.0619150985273
27574,27579,7.1852233404128745
27574,27591,27.14081861858145
27574,27553,25.052514850009512
27579,27568,20.94422551254079
27829,27832,11.1978359489203
27829,27823,13.465351623760276
27829,27875,51.699434095083596
27832,27879,51.904071420306984
27832,27818,23.7837925884833
27823,27799,27.429433753599234
27823,27869,51.82031069684391
28171,28162,13.316726533313403
28171,28080,63.24940159240869
28171,28207,40.97963110882987
28162,28074,62.41028093494745
28162,28007,290.52349251008553
28080,28074,13.369446770810793
28080,27987,72.99843787967467
27987,27994,12.3557600956352
27987,27981,13.35376923591475
27987,27875,82.56658157148189
27994,27915,62.85049499670313
27994,28008,11.920199696410638
27981,27869,83.78237922200198
27981,27985,8.65435108025341
15098,15187,24.309629524854834
15098,15031,22.532612046385672
15098,15003,75.69373131617247
15098,15002,75.6938230511985
15098,15200,63.81173315962863
15187,15092,63.56842667027919
15187,15290,72.61183912064418
15031,14852,129.93406340674227
15031,15131,82.1915737193393
15031,14901,40.7797787917654
8799,9010,86.54390704408969
24025,24063,14.593152271494118
24025,23677,193.8881923385625
24025,24037,69.06912969770485
24063,24107,15.432961619808799
24063,24080,65.31096698539646
27875,27879,11.755539284325582
27875,27869,12.921074811512787
27879,27896,9.990169325381101
1801,1913,59.714107100004206
1801,2007,71.40239380897732
1801,1422,121.88509706099343
1913,2036,72.28725933254765
1913,1536,122.93448095825657
17394,17565,37.747478710763176
17394,17293,99.16427382617891
17394,17536,100.72061838733646
17565,17430,98.32907050263263
17565,17711,101.36558787866838
17293,17430,40.451484463529816
17293,17164,100.55390981237952
17430,17360,46.970967522641786
24173,24205,11.663071402156927
24173,24126,11.678189224490493
24173,24140,181.1468744356305
24205,24206,7.983430973381025
24205,24203,14.685636591839714
22569,22822,129.94994067170956
22569,22378,78.0470720119593
22795,22822,14.75999219626161
22795,22875,44.079096508295386
22795,22562,119.99054018764537
22822,22921,51.04663141473126
18485,18498,7.439826786098352
18485,18560,49.95713556661389
18485,18163,110.5109105352366
18498,18165,110.8773807451929
8825,8862,14.17059186342023
8825,8787,14.106145552458575
22562,22274,108.55506859531339
19345,19487,43.89982966943697
19345,19265,28.191645193520376
19345,19379,21.06096303988267
19379,18956,131.6239034805502
19946,19774,79.2560335805856
19946,19842,54.4762761851958
19946,19972,13.079563631286005
19828,19839,4.363455132208958
19828,19907,41.3327751238055
19828,19569,87.39714113254973
19839,19867,15.447929511143695
19839,19919,41.95095364588804
19487,19550,34.56298842468404
19487,19569,25.07681119916226
19842,19867,11.659139190737413
7305,7531,159.71261057761598
7305,7317,10.293809655654814
7305,7236,28.297780919297196
7195,7126,39.221274478009846
7195,7077,89.18201251931706
7195,7237,22.62094493718054
7317,7429,47.759110611881894
7317,7237,51.427789435921326
7095,7301,116.29630779543298
7095,7062,13.453359772891485
7095,7124,25.045627234006364
6952,7087,56.39910266081493
6952,6926,19.870678968055152
6952,7008,25.004492052645194
7077,6848,99.51357909227175
7077,7119,30.792388657896616
6998,7062,22.247224430137216
6998,6827,154.0130568219081
6998,6840,97.28557784816957
7062,6877,166.0728036966141
5225,5470,69.63235415408931
5225,5046,56.248141757085385
5225,5216,6.451126906112739
4824,4855,7.562601120276416
4824,4728,88.02865842424929
4855,4858,1.9388428984356012
4855,4785,51.919950527821854
5642,5646,1.548942661857969
5642,5648,1.5486281076326334
5642,5628,8.217924545673755
5646,5650,1.6308445627706396
5646,5648,0.004040380128079577
5646,5903,90.7098504192636
5650,5679,13.76474970265829
5650,5648,1.631148901328291
5046,4871,46.55573884483893
5046,5039,5.985792283864707
5903,6225,105.36434395254967
5903,5877,15.022723866876175
5846,5853,3.362505068989277
5846,5839,3.4531297948530817
5846,5735,74.07837025546314
5846,5841,7.285740390854506
5853,5742,75.7954256232554
5839,5733,72.10464298071571
5839,5836,3.4036165225210646
4829,4840,4.055069905319165
4829,4865,4.05507978234234
4840,4843,1.3695073682412762
4840,4865,0.0001201083281668478
4840,4500,111.3414830692291
4843,4896,11.706468057821805
4843,4865,1.369497484148395
5610,5614,2.155053150859651
5610,5569,34.87334403424636
5610,5836,82.27038220094761
5614,5841,82.44121312474505
5614,5470,50.23493084589033
5614,5628,7.55174990133311
6225,6450,102.25961952818493
6225,6219,80.57279368329672
6225,6516,110.14278268013462
6225,6193,16.36317127807382
4887,4901,3.99641409251938
4887,4902,3.9963466369266847
4887,4859,10.463454943593797
4901,4903,1.3920595890103062
4901,4865,13.851581976987278
4901,4902,0.0037403437592684065
4903,4902,1.3921202719375887
4903,4925,10.546082796824756
5137,5134,4.608885597751186
5137,5136,4.604700628744571
5134,4902,68.0333357842919
5134,5136,0.006670884168315926
4858,4871,4.5494310002374
4858,5039,48.149461557670556
6147,6164,6.109830786048777
5836,5841,2.1532727238248337
4780,4417,115.80145945746295
4780,4772,4.332983616774104
4780,4800,10.386799709743617
4396,4392,3.1330013979974325
4396,4160,78.51860783912522
4396,4417,10.02406334409477
4392,4152,78.50001986249403
4392,4388,2.95959597670664
2809,2910,34.229414067305335
2809,2641,63.98880278845434
2809,2721,45.90013867928009
2809,2840,35.80623098096427
2949,2943,5.671728628917395
2949,3022,17.563143937458392
2949,2781,63.14488630658917
2949,2997,18.243801894722594
2943,2934,2.9022377061466123
2943,2758,62.94767765524189
2934,2952,14.042283218721668
2934,2699,87.02562695062137
3639,3637,3.3266347709798567
3639,3288,98.72055620365708
3639,4081,114.99055709626025
3639,3656,10.104472474769683
3637,3473,53.60006767699487
3637,3283,99.33497876040438
3637,4065,113.64625289889976
2617,2637,5.268568767076326
2617,2641,36.396105221161434
2617,2515,26.71524975151846
4463,4256,76.56680824674015
4463,4438,13.695656528667648
4463,4488,9.50879579528583
4152,4160,2.1198108201104913
4152,4099,7.2012920442770945
4160,4081,13.194902231578808
4160,4191,11.135054532589049
4500,4488,6.640360056681733
4388,4399,6.147917580640838
4388,4104,91.88236566323137
4399,4131,92.98075224701357
4399,4412,5.973144245802234
4081,4065,2.4961402047993775
4065,4064,2.4394719422828013
3288,3283,3.19356693106695
3288,3117,50.99843530799055
3283,3156,61.192995322590335
3283,3110,50.71870789314129
2781,2758,7.747231980570624
2781,2641,45.55077365266917
2781,2813,17.228165436569256
2758,2637,37.94465646634132
3816,3740,14.242412251520012
3816,4123,74.85309868024267
4412,4417,3.186165974438422
4412,4772,115.94547735068753
4417,4438,10.702787424632344
4488,4608,31.768229783276144
4064,4099,5.701427818510274
4064,3708,97.55017594630661
4099,3868,59.498720928932336
3110,3117,3.306790747213974
3110,2991,21.434979392702747
3117,3022,18.372960409640033
2663,2647,14.683594482940409
2663,4737,606.6588861697176
2663,2721,15.776690975567211
2631,2647,10.449044884515676
2631,4638,597.7158781671111
2631,2606,8.501840632448443
2647,3383,233.94316209534867
4791,4934,86.79041123371127
4791,4761,11.78590127855815
4791,4988,50.398056393934304
3383,4704,373.18644139141065
4737,4761,15.120334470217587
4737,4704,16.74935880864695
4761,4615,54.00744413785149
4704,4664,25.264505718714478
4664,4638,10.550585344351559
4664,4779,37.73802121362028
4745,4808,102.13116836610804
4745,4822,47.00891630662473
4745,4678,19.5449970472416
5388,5410,6.0826756109902735
5388,5377,6.660693236326091
5388,5374,15.980100629052387
5410,5429,7.227816258191443
5410,5393,15.745720739219845
4591,4545,9.646566371731286
4591,4720,99.09634574877153
4591,4651,37.30838082809035
3758,3630,98.06906072074936
3758,2411,389.4346708414255
3758,3795,14.891627574826375
2639,2737,96.59955284442931
2639,2494,55.56228862428328
2639,2724,26.33936968046111
2639,2636,7.935196587715131
8140,8011,76.87659588583394
8140,8151,5.436836023672797
8116,8011,42.28829599828482
8116,8124,5.939204274303583
8231,8329,85.34818834707247
8231,8223,4.21863730688253
8213,8194,6.479508764150095
8213,8297,25.961886666268686
21322,21356,12.845393581843156
21322,21339,22.01074566870048
21322,20736,235.77726213592487
21356,21824,153.66045362979094
21356,20733,247.93925688078195
11223,11407,63.31651691444023
11223,11149,23.190273100523576
11038,11265,65.65804833382406
11038,10686,93.70073458155511
11265,11270,4.277187653901726
11407,11469,21.21889519881432
19277,19554,108.35334359206921
19277,19212,17.659047653530475
19277,19297,11.241438407411282
19554,19559,8.669708972776732
19554,19596,11.224312923711663
19199,19222,9.499008719271835
19199,19468,108.36171582141493
19199,19143,17.705146467254373
19222,19491,107.94730993840479
19222,19212,8.138285818396902
18861,18802,27.904437147864048
18861,18838,7.269221854408399
18861,18977,40.14530730971374
19559,19586,8.039043320576392
19559,19491,15.621998515103078
19586,19531,26.209446416246948
19586,19657,18.687667445138374
19468,19491,9.879091897335796
19468,19474,7.4494350374446
18993,19009,9.16983279205591
18993,19139,59.91738584231059
18993,19095,71.16811398034592
19009,19068,18.800681625379163
19009,19169,60.06503305314788
19188,19212,9.572552351646255
19188,19169,7.685088672288499
19188,19214,17.891162562633717
19068,19214,59.655047953276785
19068,19101,11.63872710727514
19143,19139,9.27999501797258
19143,19100,21.184760898372268
19139,19169,9.72165186290104
18773,18802,7.543110994451572
18773,19069,111.19744858861152
18773,18739,13.338825081940843
18802,18838,26.551047159139276
18977,19101,47.146526659678074
18977,18969,7.274296305065168
19069,19095,7.0004472461854235
19069,19433,148.8189671164865
19095,19100,2.0066653169045687
19214,19243,11.204729179207861
18965,18996,12.570349545380513
18965,19077,45.33937281184188
18965,18900,18.36853498297166
18996,18969,12.813312356943863
18996,19284,111.38314244591761
678,687,23.479898437068847
678,686,62.14719109243273
687,639,107.86589706376478
687,697,71.59930476562752
14134,14186,15.417623186604974
14134,13882,86.1156205522172
14134,14145,24.165192165959883
14186,13928,84.93099568986199
14186,14300,28.787926089340687
17082,17021,48.21177937942195
17082,16999,24.43954102278309
25384,25367,15.746207492893122
25384,25438,76.24236724512818
25384,25694,111.97271686652688
25367,25694,111.63494610869982
3548,3613,23.429776461807858
3548,3760,82.64711142012497
3548,3245,92.78299362949865
3613,3827,80.15667553119431
3613,3624,31.720649119317788
7624,7687,31.02881895841981
7624,7753,64.60196239813159
7624,7493,59.35500966478223
7687,7796,61.894041394854376
7687,7674,5.558473195645145
686,697,25.783101174028477
686,860,270.60307332468244
697,869,247.43418244104254
454,463,23.858290829164975
454,437,23.029978654128904
454,452,9.16332033474561
439,441,2.3195242393787217
439,437,6.874418001479471
439,436,2.3198432329942733
441,436,0.24193868145784347
441,452,22.728806959609035
437,434,2.182580852900077
10282,10337,22.606318172946224
10282,10249,33.3995097895737
10337,9399,318.7001432777224
10337,10529,42.39056885842633
465,451,259.09510510599773
14054,13862,62.6197085849816
14054,14415,95.47232628472116
14054,14199,49.54937666932884
20449,20434,4.5758553402841615
20449,20091,109.4504647419936
20449,20071,189.08264383969956
20434,20419,4.0305623765022744
20434,20427,4.033330962966088
20419,20427,0.018210517135068483
20419,20054,177.72536873385226
26901,26912,12.374114058307526
26901,26867,31.591983594343226
26901,27010,90.1808873613091
26912,26865,44.503518272467566
26912,27024,88.55663935005339
24393,24400,10.716334520752827
24393,24392,31.2167431109893
24393,24336,42.37974362036587
24400,24362,32.64072046157938
24400,25119,216.58245729066903
24392,24336,65.71498428012409
24392,24358,31.76248624018903
24392,24391,13.319056170322146
24308,24330,11.202332022710783
